Name,Website,Location,Description,Users,Approx_Start_Date,Approx_End_Date,Funding_Sources,Funders,Status,Reason Ended,Comment
LawStrive,www.lawstrive.com,India,"LawStrive is an online platform designed to provide better access to legal services and legal education to citizens in African Countries. The vision of LawStrive is to become the answer board for all legal matters that affects citizens. Our Research shows that 60% of Nigerians do not have adequate access and cannot afford the cost of legalservices. 90% of cases which are meant to be pursued have been dropped because of lack of capacity and access to legal services. A lot of injustices are evident from news sources on a daily basis, but victims are left alone to suffer the injury.
LawStrive was built to ensure victims of these incidents can talk to lawyers and ask basic questions for free and also get a lawyer to resolve their legal issues. These engagement in itself has the power to transform the lives of people, because transparency and clarity on legal matters is something we consider to be very essential in today’s world.",,,,NA,,Active,,
Civil Resolution Tribunal,https://civilresolutionbc.ca/,Canada,"The Civil Resolution is an application for online dispute resolution. It helps resolve small claims and strata property
disputes.",,2012,,NA,,Active,,
Clicklaw,https://www.clicklaw.bc.ca/,Canada,ClickLaw provides legal information and a map of legal support services in British Columbia.,,2009,,"Grant,Other",A network of organizations in British Columbia that provide or support public legal education and information (PLEI). Clicklaw is operated by the Courthouse Libraries BC and was developed with a project grant from the Law Foundation of BC. ,Active,,
Fired Without Cause,http://www.firedwithoutcause.com/employmentlawtutorial2.html,Canada,Fired Without Cause helps users understand whether their employer treated them fairly. The app also has a severance pay calculator.,,,,NA,,Ended,,Unable to find information online
JusticeTrans,http://justicetrans.org/,Canada,JusticeTrans offers legal information about transgender rights across Canada,,2015,,Grant,"Women and Gender Equality Canada (WAGE), Women and Gender Equality Canada (FEGC)",Active,,
Lawger,http://lawger.com/,Canada,"Lawger uses an online bidding system to connect people with lawyers. Once users submit their legal problem, lawyers registered with the programme can bid on the case.",,,,,,Unsure,,Unable to find information online
LawGives,https://www.legal.io/,Canada,"LawGives connects clients with lawyers based on their preferences and needs, and offers them with free information and free consultations.
",,2011,,Private,,Active,,
Legal Aid Ontario,https://www.legalaid.on.ca/,Canada,The Legal Aid Ontario application allows people with legal issues to assess their financial eligibility for legal aid. ,,2015,,Government,"the Government of Ontario, the Law Foundation of Ontario, and the Government of Canada",Active,,Mobile app
Legalswipe,https://www.legalswipe.com/,Canada,Legalswipe educates users about their legal rights through a series of menus and cues,Individuals,2015,2018,Private,Formerly VC-backed,Ended,"1. over time took far too many resources to updates.
2. Other better organizations.",
My Legal Briefcase,http://www.mylegalbriefcase.com/,Canada,My Legal Briefcase helps individuals and businesses handle their legal cases with or without a lawyer. It also assists users in preparing simple legal documents.,"Individuals, businesses",2010,2020,Private,"Corporate Backed or Acquired
",Ended,Acquired/​Merged,
MyLawBC,https://mylawbc.com/,Canada,"MyLawBC provides legal aid, legal advice, information and representation to
people facing a legal problem",Individuals,2016,,"Government,Donations","the provincial government, the Law Foundation of BC, Notary Foundation of BC",Active,,
Steps to Justice,https://stepstojustice.ca/,Canada,"Steps to Justice provides users with step-by-step legal information, practical tools, and referral information for legal and social services across Ontario.",Individuals,,,"Government,Grant","The Law Foundation of Ontario, Legal Aid Ontario, the Department of Justice Canada",Active,,
A2J Author,https://www.a2jauthor.org/,US,"A2J Author aims to improve access to justice for people who represent themselves. The service hosts simplified legal
information and resources created by legal professionals.",,Sept 2015,,Grant,"State Justice Institute, Center for Access to the Courts through Technology, IIT Chicago-Kent College of Law, CALI and the Legal Services Corporation",Active,,
Arizona Eviction Help,https://azevictionhelp.org/,US,"Arizona Eviction Help makes it easier for tenants to learn about eviction hearings, identify potential defenses to use
and create court documents to use",,,,"Donations,Grant","the Arizona Bar Foundation, the Nina mason Pulliam Charitable Trust and Vitalyst Health Foundation",Active,,
Citizenshipworks,https://www.citizenshipworks.org/en,US,"Citizenshipworks provides step-by-step advice for people on the pathway to citizenship by helping them prepare for
citizenship tests, and inform them about in-person legal services in their proximity.",,2011,,Donations,"the Immigration Advocates Network, the Immigrant Legal Resource Center, and Pro Bono Net",Active,,
Court Buddy,https://www.courtbuddy.com/about-us,US,Court Buddy is an online service that connects individuals with lawyers. The service is particularly meant for people who can’t afford a lawyer and self-represent in court.,"People who can't afford a lawyer, small businesses",2015,,Private,NFX,Active,,
DoNotPay,https://donotpay.com/,US,"DoNotPay is a chatbot that helps people win up to USD 25,000 in small claims court",Individuals,2015,,Private,"Venture Capital-Backed
",Active,,
